,school_name,school_slug,season,ranker,team_game_num_season,date,game_location,opp_name_abbr,game_type,team_game_result,team_game_score,opp_team_game_score,overtimes,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf
82,Akron,akron,2023,21,21,2023-01-28,,Ohio,REG (Conf),W,83,77,,28,50,0.56,9,16,0.563,19,34,0.559,0.65,18,25,0.72,7,24,31,13,3,0,10,13,29,56,0.518,10,26,0.385,19,30,0.633,0.607,9,15,0.6,6,16,22,12,5,2,6,21
83,Akron,akron,2023,22,22,2023-01-31,@,Buffalo,REG (Conf),W,81,64,,31,56,0.554,12,18,0.667,19,38,0.5,0.661,7,10,0.7,5,19,24,23,10,6,15,15,24,57,0.421,5,20,0.25,19,37,0.514,0.465,11,16,0.688,11,20,31,16,8,5,18,14
84,Akron,akron,2023,23,23,2023-02-03,,Kent State,REG (Conf),W,67,55,,19,45,0.422,9,22,0.409,10,23,0.435,0.522,20,25,0.8,6,24,30,12,6,4,12,14,21,56,0.375,6,26,0.231,15,30,0.5,0.429,7,11,0.636,6,13,19,7,7,1,11,21
85,Akron,akron,2023,24,24,2023-02-07,,Toledo,REG (Conf),L,74,84,,27,66,0.409,11,32,0.344,16,34,0.471,0.492,9,11,0.818,11,16,27,11,5,2,10,23,26,50,0.52,9,18,0.5,17,32,0.531,0.61,23,28,0.821,7,25,32,14,1,4,8,12
86,Akron,akron,2023,25,25,2023-02-10,@,Ohio,REG (Conf),L,81,90,,30,59,0.508,11,23,0.478,19,36,0.528,0.602,10,18,0.556,10,19,29,11,5,5,12,18,30,62,0.484,10,16,0.625,20,46,0.435,0.565,20,23,0.87,10,19,29,13,7,1,10,18
87,Akron,akron,2023,26,26,2023-02-14,@,Eastern Michigan,REG (Conf),W,78,51,,28,64,0.438,10,30,0.333,18,34,0.529,0.516,12,17,0.706,15,27,42,14,4,2,8,12,19,50,0.38,1,15,0.067,18,35,0.514,0.39,12,14,0.857,3,20,23,9,4,3,12,17
88,Akron,akron,2023,27,27,2023-02-18,,Buffalo,REG (Conf),W,86,66,,29,61,0.475,8,22,0.364,21,39,0.538,0.541,20,23,0.87,11,22,33,15,7,3,10,14,26,56,0.464,6,18,0.333,20,38,0.526,0.518,8,12,0.667,5,20,25,9,4,1,13,20
89,Akron,akron,2023,28,28,2023-02-21,@,Toledo,REG (Conf),L,63,84,,26,59,0.441,4,21,0.19,22,38,0.579,0.475,7,14,0.5,9,23,32,10,3,0,10,11,32,61,0.525,10,20,0.5,22,41,0.537,0.607,10,13,0.769,7,25,32,16,7,7,7,17
90,Akron,akron,2023,29,29,2023-02-25,,Western Michigan,REG (Conf),W,81,64,,29,55,0.527,13,32,0.406,16,23,0.696,0.645,10,15,0.667,4,26,30,22,7,2,5,14,22,59,0.373,12,39,0.308,10,20,0.5,0.475,8,10,0.8,6,18,24,7,3,0,12,13
91,Akron,akron,2023,30,30,2023-02-28,,Ball State,REG (Conf),W,87,83,,26,59,0.441,12,31,0.387,14,28,0.5,0.542,23,27,0.852,9,20,29,12,5,0,9,14,31,60,0.517,12,25,0.48,19,35,0.543,0.617,9,11,0.818,6,26,32,15,5,2,9,23
